chr	start	end	strand	type	id	geneName	geneId	numberOfTranscripts	canonicalTranscriptLength	transcriptId	cdsLength	numerOfExons	exonRank	exonSpliceType
HG1458_PATCH	1	155276629	+1	Chromosome	HG1458_PATCH									
HG1458_PATCH	142596521	142605262	-1	Gene	ENSG00000268490	SPANXN3	ENSG00000268490	1	426					
HG1458_PATCH	142596521	142605262	-1	Transcript	ENST00000594053	SPANXN3	ENSG00000268490	1	426	ENST00000594053	426	2		
HG1458_PATCH	142605100	142605178	-1	Cds	CDS_HG1458_PATCH_142605100_142605177	SPANXN3	ENSG00000268490	1	426	ENST00000594053	426	2		
HG1458_PATCH	142596601	142596949	-1	Cds	stop_codon_HG1458_PATCH_142596601_142596603	SPANXN3	ENSG00000268490	1	426	ENST00000594053	426	2		
HG1458_PATCH	142605178	142605262	-1	Utr5prime	exon_HG1458_PATCH_142605100_142605261	SPANXN3	ENSG00000268490	1	426	ENST00000594053	426	2	1	RETAINED
HG1458_PATCH	142596521	142596601	-1	Utr3prime	exon_HG1458_PATCH_142596521_142596948	SPANXN3	ENSG00000268490	1	426	ENST00000594053	426	2	2	RETAINED
HG1458_PATCH	142596521	142596949	-1	Exon	exon_HG1458_PATCH_142596521_142596948	SPANXN3	ENSG00000268490	1	426	ENST00000594053	426	2	2	RETAINED
HG1458_PATCH	142605100	142605262	-1	Exon	exon_HG1458_PATCH_142605100_142605261	SPANXN3	ENSG00000268490	1	426	ENST00000594053	426	2	1	RETAINED
HG1458_PATCH	142596949	142605100	-1	Intron	ENST00000594053_intron_1	SPANXN3	ENSG00000268490	1	426	ENST00000594053	426	2		
HG1458_PATCH	142604590	142609590	+1	Downstream	ENST00000600464	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6		
HG1458_PATCH	142605098	142605100	-1	SpliceSiteDonor	exon_HG1458_PATCH_142605100_142605261	SPANXN3	ENSG00000268490	1	426	ENST00000594053	426	2	1	RETAINED
HG1458_PATCH	142372763	142604590	+1	Gene	ENSG00000269247	GS1-256O22.5	ENSG00000269247	1	623					
HG1458_PATCH	142372763	142604590	+1	Transcript	ENST00000600464	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6		
HG1458_PATCH	142372763	142372853	+1	Exon	exon_HG1458_PATCH_142372763_142372852	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	1	RETAINED
HG1458_PATCH	142447377	142447463	+1	Exon	exon_HG1458_PATCH_142447377_142447462	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	2	RETAINED
HG1458_PATCH	142604428	142604590	+1	Exon	exon_HG1458_PATCH_142604428_142604589	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	6	RETAINED
